team,year,name,age,position,games,games_started,minutes_played_per_game,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,three_point_field_goals_per_game,three_point_field_goal_attempts_per_game,three_point_field_goal_percentage,two_point_field_goals_per_game,two_point_field_goal_attempts_per_game,two_point_field_goal_percentage,effective_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,awards,position_post,games_post,games_started_post,minutes_played_per_game_post,field_goals_per_game_post,field_goal_attempts_per_game_post,field_goal_percentage_post,three_point_field_goals_per_game_post,three_point_field_goal_attempts_per_game_post,three_point_field_goal_percentage_post,two_point_field_goals_per_game_post,two_point_field_goal_attempts_per_game_post,two_point_field_goal_percentage_post,effective_field_goal_percentage_post,free_throws_per_game_post,free_throw_attempts_per_game_post,free_throw_percentage_post,offensive_rebounds_per_game_post,defensive_rebounds_per_game_post,total_rebounds_per_game_post,assists_per_game_post,steals_per_game_post,blocks_per_game_post,turnovers_per_game_post,personal_fouls_per_game_post,points_per_game_post,awards_post,pg%,sg%,pf%,c%,on_court_+/-,on-off_+/-,bad_pass_TO,lost_ball_TO,shooting_fouls,offensive_fouls,shooting_fouls_drawn,offensive_fouls_drawn,points generated by assists,and1s,pg%_post,sg%_post,sf%_post,pf%_post,c%_post,on_court_+/-_post,on-off_+/-_post,bad_pass_to_post,lost_ball_to_post,shooting_fouls_post,offensive_fouls_post,shooting_fouls_drawn_post,offensive_fouls_drawn_post,points_generated_by_assists_post,and1s_post
BOS,2022,Jayson Tatum,23,SF,76,76,35.9,9.3,20.6,.453,3.0,8.6,.353,6.3,12.0,.524,.526,5.3,6.2,.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,26.9,"MVP-6,AS,NBA1",SF,24,24,41.0,8.4,19.7,.426,3.2,8.2,.393,5.2,11.5,.449,.507,5.7,7.1,.800,1.0,5.7,6.7,6.2,1.2,0.9,4.2,3.0,25.6,,0,67,32,0,12.1,13.8,99,71,67,33,188,11,833,41,0,0,78,21,0,4.6,5.4,39,38,15,19,74,5,379,15
BOS,2022,Jaylen Brown,25,SF,66,66,33.6,8.7,18.4,.473,2.5,7.0,.358,6.2,11.4,.544,.541,3.7,4.8,.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,,SF,24,24,38.3,8.2,17.5,.470,2.5,6.7,.373,5.7,10.8,.531,.542,4.2,5.5,.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3.0,23.1,,0,47,8,0,10.1,5.4,74,66,68,18,151,13,566,37,0,66,34,0,0,3.5,-1.5,25,33,25,9,55,7,213,14
BOS,2022,Marcus Smart,27,PG,71,71,32.3,4.2,10.1,.418,1.7,5.1,.331,2.5,5.0,.506,.501,2.0,2.5,.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,DPOY-1,PG,21,21,36.2,5.4,13.3,.405,2.3,6.5,.350,3.1,6.8,.458,.491,2.4,3.0,.806,1.0,3.6,4.5,5.9,1.2,0.2,2.5,3.4,15.4,,63,0,0,0,9.7,4.7,108,33,62,12,69,46,977,19,91,9,0,0,0,2.2,-5.0,32,11,23,7,21,18,297,3
BOS,2022,Robert Williams,24,C,61,61,29.6,4.4,6.0,.736,0.0,0.0,.000,4.4,6.0,.738,.736,1.1,1.5,.722,3.9,5.7,9.6,2.0,0.9,2.2,1.0,2.2,10.0,DPOY-7,C,17,15,23.2,3.1,4.6,.679,0.0,0.1,.000,3.1,4.5,.688,.679,1.5,1.6,.893,2.5,3.6,6.2,1.0,0.7,2.2,0.6,2.0,7.7,,0,0,42,58,9.9,4.0,31,12,91,8,45,1,302,14,0,0,0,54,47,7.5,5.5,3,2,22,2,12,1,40,2
BOS,2022,Dennis Schröder,28,PG,49,25,29.2,5.2,11.9,.440,1.4,3.9,.349,3.9,8.0,.485,.497,2.5,3.0,.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,0,0,1.7,-9.4,61,26,31,14,60,18,508,16,,,,,,,,,,,,,,,
BOS,2022,Al Horford,35,C,69,69,29.1,3.9,8.2,.467,1.3,3.8,.336,2.6,4.4,.582,.546,1.2,1.4,.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,DPOY-9,C,23,23,35.4,4.4,8.4,.523,2.0,4.3,.480,2.3,4.1,.568,.645,1.2,1.6,.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,,0,0,1,99,9.4,3.3,37,13,72,8,44,0,544,13,0,0,0,0,100,5.4,5.1,15,5,37,6,19,2,191,8
BOS,2022,Derrick White,27,SG,26,4,27.4,3.6,8.8,.409,1.3,4.3,.306,2.3,4.6,.504,.483,2.5,2.9,.853,0.5,2.9,3.4,3.5,0.6,0.6,1.2,2.2,11.0,,SG,23,3,25.4,2.8,7.7,.364,1.1,3.6,.313,1.7,4.0,.409,.438,1.8,2.2,.824,0.3,2.7,3.0,2.7,0.9,0.6,1.3,2.0,8.5,,13,1,0,0,12.3,5.6,18,9,30,1,39,14,219,11,22,75,3,0,0,2.1,-3.7,14,7,19,3,21,10,141,5
BOS,2022,Josh Richardson,28,SG,44,0,24.7,3.5,7.8,.443,1.4,3.5,.397,2.0,4.3,.481,.534,1.4,1.6,.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,0,0,3.1,-6.3,19,9,39,3,25,6,166,3,,,,,,,,,,,,,,,
BOS,2022,Grant Williams,23,PF,77,21,24.4,2.7,5.6,.475,1.4,3.4,.411,1.3,2.3,.569,.597,1.1,1.2,.905,0.8,2.7,3.6,1.0,0.5,0.7,0.8,2.4,7.8,,PF,24,5,27.3,2.7,6.3,.433,1.5,3.7,.393,1.3,2.5,.492,.550,1.8,2.2,.808,1.0,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,,0,3,94,3,4.5,-6.0,28,17,91,10,41,22,196,14,0,0,2,98,1,1.6,-5.3,5,5,31,7,16,10,49,3
BOS,2022,Daniel Theis,29,C,21,6,18.7,3.2,5.3,.598,0.5,1.3,.357,2.7,4.0,.679,.643,1.0,1.5,.688,1.3,3.4,4.7,1.0,0.4,0.7,0.7,2.3,7.9,,C,16,5,12.5,1.9,3.2,.588,0.2,0.9,.214,1.7,2.3,.730,.618,0.4,0.5,.750,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,,0,0,32,68,18.0,11.4,5,4,37,5,18,3,53,6,0,0,0,36,64,-7.6,-14.0,5,3,13,3,2,1,29,0
BOS,2022,Romeo Langford,22,SG,44,5,16.5,1.8,4.2,.429,0.7,1.9,.349,1.1,2.3,.495,.508,0.5,0.8,.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,52,2,0,1.3,-7.8,9,3,27,1,17,3,49,6,,,,,,,,,,,,,,,
BOS,2022,Payton Pritchard,24,PG,71,2,14.1,2.3,5.3,.429,1.4,3.5,.412,0.8,1.8,.461,.564,0.3,0.3,1.000,0.5,1.4,1.9,2.0,0.4,0.1,0.6,0.9,6.2,,PG,24,0,12.9,1.8,4.3,.422,1.0,3.0,.333,0.8,1.3,.633,.539,0.2,0.3,.667,0.4,1.5,1.9,1.6,0.3,0.1,0.4,1.0,4.8,,100,0,0,0,3.5,-5.6,22,9,20,2,6,3,353,2,100,0,0,0,0,10.2,8.6,6,1,10,0,2,1,88,0
BOS,2022,Enes Freedom,29,C,35,1,11.7,1.5,2.8,.526,0.1,0.1,.400,1.4,2.6,.533,.536,0.7,0.8,.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,8.9,1.4,3,9,29,4,15,1,19,5,,,,,,,,,,,,,,,
BOS,2022,Aaron Nesmith,22,SF,52,3,11.0,1.4,3.5,.396,0.6,2.2,.270,0.8,1.3,.612,.481,0.4,0.5,.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,,SF,15,0,3.5,0.3,1.1,.235,0.1,0.7,.091,0.2,0.4,.500,.265,0.2,0.3,.750,0.3,0.7,1.0,0.2,0.1,0.3,0.1,0.4,0.8,,1,63,7,0,4.5,-3.8,17,5,39,3,15,6,53,7,0,68,33,0,0,0.8,-3.1,1,0,4,0,0,0,6,0
BOS,2022,Jabari Parker,26,PF,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,28,72,-1.2,-9.2,5,2,10,1,3,0,13,1,,,,,,,,,,,,,,,
BOS,2022,Luke Kornet,26,C,12,0,7.1,1.0,1.8,.571,0.0,0.3,.000,1.0,1.4,.706,.571,0.2,0.3,.667,0.8,1.3,2.1,0.7,0.3,0.2,0.0,0.6,2.2,,C,9,0,2.1,0.3,0.4,.750,0.1,0.1,1.000,0.2,0.3,.667,.875,0.0,0.0,,0.1,0.4,0.6,0.1,0.0,0.0,0.1,0.1,0.8,,0,0,0,100,3.3,-4.5,0,0,7,0,2,0,20,1,0,0,0,0,100,11.0,7.2,1,0,1,0,0,0,2,0
BOS,2022,Sam Hauser,24,SF,26,0,6.1,0.9,1.9,.460,0.7,1.7,.432,0.2,0.2,.667,.650,0.0,0.0,,0.2,0.9,1.1,0.4,0.0,0.1,0.1,0.3,2.5,,SF,7,0,2.1,0.1,0.6,.250,0.1,0.4,.333,0.0,0.1,.000,.375,0.3,0.3,1.000,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,,0,57,41,0,2.6,-5.3,1,0,2,0,0,0,24,0,0,0,100,1,0,34.3,30.8,0,0,0,0,1,0,6,0
BOS,2022,Juancho Hernangómez,26,PF,18,0,5.3,0.3,1.5,.185,0.2,1.0,.167,0.1,0.5,.222,.241,0.3,0.5,.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,84,5,-17.4,-25.7,3,2,3,1,5,0,8,1,,,,,,,,,,,,,,,
BOS,2022,Matt Ryan,24,SF,1,0,5.0,1.0,5.0,.200,1.0,5.0,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48,0,0,35.6,27.9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
BOS,2022,Brodric Thomas,25,SG,12,0,5.0,0.7,1.5,.444,0.2,0.8,.222,0.5,0.8,.667,.500,0.3,0.4,.600,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,0,0,2.9,-4.9,3,3,4,0,3,0,26,1,,,,,,,,,,,,,,,
BOS,2022,Juwan Morgan,24,PF,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,PF,9,0,1.7,0.0,0.1,.000,0.0,0.1,.000,0.0,0.0,,.000,0.1,0.2,.500,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.1,,0,100,0,0,97.6,90.0,0,0,0,0,0,0,0,0,0,0,65,35,0,-11.4,-15.4,0,0,1,0,1,0,0,0
BOS,2022,Malik Fitts,24,PF,8,0,3.5,0.8,1.3,.600,0.4,0.8,.500,0.4,0.5,.750,.750,0.0,0.0,,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9,,PF,9,0,1.8,0.3,0.4,.750,0.2,0.2,1.000,0.1,0.2,.500,1.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,,0,0,94,6,19.8,12.1,0,0,1,0,0,0,13,0,0,0,0,83,18,35.7,32.2,0,0,0,0,0,0,0,0
BOS,2022,Bruno Fernando,23,C,20,0,2.9,0.4,0.7,.500,0.1,0.1,1.000,0.3,0.7,.462,.536,0.2,0.3,.800,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,88,-18.8,-26.9,0,1,2,2,2,0,10,1,,,,,,,,,,,,,,,
BOS,2022,Nik Stauskas,28,SG,6,0,2.5,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.2,0.3,.500,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.2,,SG,13,0,1.8,0.2,0.9,.250,0.2,0.8,.300,0.0,0.2,.000,.375,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.0,,0,16,0,0,18.9,11.2,0,1,0,0,1,0,2,0,86,14,0,0,0,26.2,22.8,0,0,0,0,1,0,10,0
BOS,2022,C.J. Miles,34,SG,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-125.0,-132.8,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,
BOS,2022,Kelan Martin,26,SF,3,0,2.0,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,0,0,-64.6,-72.4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
BOS,2022,Joe Johnson,40,SG,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,0,0,-125.0,-132.8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
BOS,2022,Justin Jackson,26,SF,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,-125.0,-132.8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
BOS,2022,Team Totals,,,82,82,242.7,40.7,87.4,.466,13.2,37.1,.356,27.5,50.3,.547,.542,17.0,20.9,.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,,,24,24,240.0,36.7,81.8,.449,13.7,36.6,.373,23.0,45.1,.511,.533,18.5,23.2,.797,9.0,33.9,42.9,24.5,6.4,6.3,14.7,20.7,105.5,,20,20,20,20,7.7,1.6,543,295,733,126,749,147,4954,199,20,20,20,20,20,3.9,0.3,146,105,201,56,225,55,1451,50
BRK,2023,Kyrie Irving,30,PG,40,40,37.0,10.0,20.5,.486,3.3,8.7,.374,6.7,11.8,.569,.565,4.0,4.5,.883,1.0,4.2,5.1,5.3,1.0,0.8,2.3,2.7,27.1,"CPOY-12,AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0,0,0,4.4,5.0,49,26,55,7,74,12,498,24,,,,,,,,,,,,,,,
BRK,2023,Kevin Durant,34,PF,39,39,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,65,35,6.7,8.5,78,39,48,11,120,6,490,44,,,,,,,,,,,,,,,
BRK,2023,Spencer Dinwiddie,29,PG,26,26,35.3,5.5,13.7,.404,1.7,5.7,.289,3.9,8.0,.488,.465,3.8,4.7,.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,2.4,16.5,,PG,4,4,39.8,5.5,12.8,.431,1.8,4.5,.389,3.8,8.3,.455,.500,3.8,5.5,.682,0.3,3.0,3.3,6.5,1.3,0.3,3.0,1.8,16.5,,98,0,0,0,4.3,4.0,33,12,28,5,60,8,584,17,99,1,0,0,0,-12.0,11.5,8,4,5,0,12,0,62,2
BRK,2023,RaiQuan Gray,23,PF,1,0,35.0,6.0,12.0,.500,2.0,5.0,.400,4.0,7.0,.571,.583,2.0,2.0,1.000,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,35,65,-19.4,-20.9,2,1,3,0,1,0,16,0,,,,,,,,,,,,,,,
BRK,2023,Mikal Bridges,26,SG,27,27,34.2,8.9,18.6,.475,2.5,6.7,.376,6.3,11.9,.531,.543,5.9,6.6,.894,0.9,3.6,4.5,2.7,1.0,0.6,1.8,1.6,26.1,,SG,4,4,39.3,8.3,19.3,.429,2.5,6.3,.400,5.8,13.0,.442,.494,4.5,5.8,.783,0.5,4.8,5.3,4.0,0.5,0.5,2.0,1.3,23.5,,2,17,1,0,0.8,-0.6,27,16,27,1,77,4,172,20,5,77,19,0,0,-16.2,-13.1,6,1,2,0,11,1,42,2
BRK,2023,Royce O'Neale,29,SF,76,53,31.7,3.0,7.8,.386,2.1,5.5,.389,0.9,2.3,.379,.524,0.7,0.9,.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,,SF,4,0,29.5,1.8,7.3,.241,1.0,5.5,.182,0.8,1.8,.429,.310,0.5,0.5,1.000,1.0,3.3,4.3,3.5,1.3,0.3,1.0,2.8,5.0,,0,61,15,0,2.6,3.5,71,19,139,13,30,25,690,5,0,11,70,19,0,-20.0,-15.6,2,1,3,0,0,3,34,0
BRK,2023,Cameron Johnson,26,PF,25,25,30.8,5.6,12.0,.468,2.3,6.2,.372,3.3,5.8,.572,.565,3.0,3.5,.851,0.8,4.0,4.8,2.1,1.4,0.3,1.1,2.2,16.6,,PF,4,4,38.0,7.0,13.8,.509,3.0,7.0,.429,4.0,6.8,.593,.618,1.5,1.8,.857,0.8,5.0,5.8,2.8,0.8,0.3,1.3,2.5,18.5,,0,0,82,18,4.2,3.7,12,11,28,3,37,7,127,11,0,0,0,69,31,-13.9,-0.2,3,1,4,1,4,1,25,2
BRK,2023,Nic Claxton,23,C,76,76,29.9,5.4,7.7,.705,0.0,0.0,.000,5.4,7.7,.708,.705,1.8,3.2,.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,DPOY-9,C,4,4,29.3,4.5,6.3,.720,0.0,0.0,,4.5,6.3,.720,.720,1.5,2.5,.600,1.3,6.8,8.0,1.5,0.3,1.8,0.8,2.0,10.5,,0,0,0,100,5.2,9.1,21,21,105,31,119,14,350,35,0,0,0,1,99,-9.5,11.3,1,1,2,1,5,1,14,3
BRK,2023,Dorian Finney-Smith,29,PF,26,26,27.7,2.6,7.3,.351,1.4,4.7,.306,1.2,2.7,.429,.448,0.6,0.7,.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,,PF,4,4,25.3,2.3,5.8,.391,1.8,4.3,.412,0.5,1.5,.333,.543,0.0,0.0,,1.5,3.0,4.5,0.8,0.8,0.5,1.3,1.8,6.3,,0,52,37,12,-0.3,-1.9,15,4,43,2,10,1,98,3,0,0,60,33,7,-5.7,17.0,2,2,4,0,0,0,7,0
BRK,2023,Ben Simmons,26,PG,42,33,26.3,3.2,5.6,.566,0.0,0.0,.000,3.2,5.5,.571,.566,0.6,1.4,.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,0,0,2.6,1.8,48,16,55,24,22,8,630,8,,,,,,,,,,,,,,,
BRK,2023,Joe Harris,31,SF,74,33,20.6,2.7,5.9,.457,1.9,4.5,.426,0.8,1.4,.551,.618,0.2,0.4,.643,0.3,1.9,2.2,1.4,0.5,0.2,0.6,1.9,7.6,,SF,4,0,11.0,0.5,3.3,.154,0.3,3.0,.083,0.3,0.3,1.000,.192,0.5,0.5,1.000,0.0,1.3,1.3,0.0,0.5,0.0,0.8,1.3,1.8,,0,48,42,6,-1.9,-5.1,26,3,76,7,11,4,242,3,0,0,34,59,7,6.3,25.8,1,1,1,1,0,0,0,0
BRK,2023,Seth Curry,32,SG,61,7,19.9,3.4,7.4,.463,1.5,3.8,.405,1.9,3.6,.525,.568,0.8,0.9,.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,,SG,3,0,19.3,3.3,6.3,.526,1.0,3.0,.333,2.3,3.3,.700,.605,0.7,1.0,.667,0.0,1.0,1.0,2.0,0.0,0.0,0.3,0.7,8.3,,35,17,0,0,-3.9,-7.4,24,9,33,7,17,12,244,8,19,81,0,0,0,-18.7,-7.0,1,0,0,0,1,1,15,0
BRK,2023,T.J. Warren,29,PF,26,0,18.8,3.9,7.7,.510,0.6,1.8,.333,3.3,5.8,.566,.550,1.0,1.3,.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,62,18,0.1,-1.3,3,5,23,4,15,2,69,4,,,,,,,,,,,,,,,
BRK,2023,Cam Thomas,21,SG,57,4,16.6,3.5,8.0,.441,0.9,2.3,.383,2.6,5.7,.464,.497,2.6,3.1,.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1.0,10.6,,SG,2,0,8.0,1.5,3.5,.429,0.0,1.0,.000,1.5,2.5,.600,.429,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,3.0,,9,32,3,0,-1.3,-3.3,22,18,32,4,76,10,187,18,36,64,0,0,0,-48.1,-37.1,0,1,0,0,0,0,2,0
BRK,2023,Yuta Watanabe,28,SF,58,1,16.0,2.0,4.0,.491,1.0,2.3,.444,0.9,1.7,.557,.621,0.6,0.8,.723,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6,,SF,1,0,5.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,2.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,,0,31,58,8,-1.2,-3.2,10,5,57,3,24,8,117,3,0,0,0,100,0,-44.4,-31.4,1,0,0,0,1,0,0,0
BRK,2023,Nerlens Noel,28,C,3,1,14.3,0.3,2.0,.167,0.0,0.0,,0.3,2.0,.167,.167,0.3,0.7,.500,1.0,2.0,3.0,1.0,1.0,0.3,1.7,2.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,-8.7,-10.0,2,2,6,1,1,2,7,0,,,,,,,,,,,,,,,
